Title,Price($),Address,Date Posted,Building Type,Bedrooms,Bathrooms,Utilities,Wi-Fi and More,Parking Included,Agreement Type,Move-In Date,Pet Friendly,Size (sqft),Furnished,Air Conditioning,Personal Outdoor Space,Smoking Permitted,Appliances,Amenities,Description,Visit Counter,url
"2nd Floor: 2 Bedrooms, 1 Bathroom",2500,"King St W, Toronto, ON, M6K1H6",3/12/2024 3:37,Apartment,2,1,,Not Included,1,1 Year,12-Mar-24,Limited,800,Yes,Yes,Not Included,Outdoors only,,,"2nd floor: Bright Open Updated Kitchen with Bedroom, 1 Bathroom, Full 3 Piece Bath,
Everything is included in the rentals except for internet.",7 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2nd-floor:-2-bedrooms-1-bathroom/1687973743
Amazing Suite available!!! 2 BD Available for January 2024,,"2777 Kipling Avenue, Etobicoke, ON, M9V 4M2",3/12/2024 3:36,Apartment,2 + Den,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,1-Jan-24,Yes,Not Available,No,No,Balcony,Outdoors only,"Laundry (In Building), Dishwasher, Fridge / Freezer","24 Hour Security, Elevator in Building",,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/amazing-suite-available-2-bd-available-for-january-2024/1505792263
"Basement: 2 Bedrooms, 1 Bathroom",2200,"King St W, Toronto, ON, M6K1H6",3/12/2024 3:33,Apartment,2,1,,Not Included,1,1 Year,11-Mar-24,Limited,800,Yes,Yes,Not Included,Outdoors only,,,"Basement: Bright Open Updated Kitchen with Bedroom, 1 Bathroom, Full 3 Piece Bath,
Everything is included in the rentals except for internet.",10 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/basement:-2-bedrooms-1-bathroom/1687973554
Condo style Bachelor Suite / Studio,1850,"Etobicoke, ON M8V 2E5",3/12/2024 3:28,Apartment,Bachelor/Studio,1,"Hydro_No,Heat_Yes,Water_Yes",Internet,0,1 Year,1-May-24,Limited,225,No,Yes,Yard,Outdoors only,"Laundry (In Unit), Dishwasher, Fridge / Freezer","24 Hour Security, Bicycle Parking, Storage Space","Fully renovated luxury apartments for rent: in-suite climate control (heat, air-conditioning, heat recovery ventilation), in-suite laundry ( washer and dryer), stainless steel dishwasher, fridge, range, microwave/exhaust. hardwood floors, security cameras in common areas/exterior. Parking and storage lockers available. MOVE IN MAY 1ST.",15 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/condo-style-bachelor-suite-studio/1687973353
One bedroom basement apartment for rent richmondhill,1850,"North York, ON M2N 0C1",3/12/2024 3:25,Basement,1,1,,Not Included,2,1 Year,11-Mar-24,No,950,No,Yes,Not Included,No,"Laundry (In Building), Dishwasher, Fridge / Freezer",,"One bedroom basement apartment separate entrance for rent, very clean, hardwood floor, dush washer , lundry, heating cooling system, close to shopping centre, walmart , costco , close to high rank school bayview secondary, bus top , family oriented, utility 40%",11 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/one-bedroom-basement-apartment-for-rent-richmondhill/1687973183
NEW PRICE!! 1bd fully RENOVATED suite $1625,1695,"5900 Yonge Street, Toronto, ON, M2M 3T8",3/12/2024 3:14,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,1-Feb-21,No,Not Available,No,No,Balcony,Outdoors only,"Laundry (In Building), Dishwasher, Fridge / Freezer","Gym, Storage Space, Elevator in Building",,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/new-price-1bd-fully-renovated-suite-1625/1505831086
2 bedrooms basement rent estate of Creditridge in Brampton west,,"Brampton, ON L6X 3A7",3/12/2024 2:59,Basement,2,1,"Hydro_Yes,Heat_Yes,Water_Yes",Not Included,2,1 Year,1-Apr-24,No,"1,200",Yes,Yes,Not Included,No,"Laundry (In Unit), Fridge / Freezer",,Semi Furnished Legal Basement apartment Rent,11 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedrooms-basement-rent-estate-of-creditridge-in-brampton-west/1687971867
"Bright, spacious main floor 1 bedroom apartment",2200,"472 Ossington Ave, Toronto, ON M6G 3T2",3/12/2024 2:45,Apartment,1,1,"Hydro_No,Heat_No,Water_Yes",Not Included,0,1 Year,1-Apr-24,Limited,700,No,No,Yard,Outdoors only,,,"Available April /May 1st
A walk to Little Italy, minutes away from Dundas St and Queen West. A streetcar or bike ride to the University of Toronto. This spacious 1st floor, 1 bedroom apartment has a sit-in kitchen and a large living area (tile and hardwood flooring). Laundromat is a walk away. Subway, streetcar and buses outside your door. $2200 plus hydro. Parking is available on the property.",355 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bright-spacious-main-floor-1-bedroom-apartment/1685408681
"Spacious, light-filled studio apartment in vibrant neighbourhood",1750,"Dupont Street, Toronto, ON",3/12/2024 2:32,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,1-May-24,Yes,190,No,No,Not Included,Outdoors only,"Laundry (In Building), Fridge / Freezer",24 Hour Security,"One-of-a-kind, light-filled, newly renovated studio apartment with easy access to TTC transit (Spadina Station just a walk away), amazing restaurants and cafes nearby and more! This is the renter looking to assign the lease for the next six months. The lease ends in December and than you can choose to renew if you would like. Not looking for a subletter. Shared laundry in the basement is a breeze to use.Very attentive landlords. Move in and Enjoy. Parking available for addtnl cost. Utilities not incl. Incl. modern appliances: fridge, microwave, and stove. If interested, please respond with a short description about yourself. Here are the documents required:
1) copy of photo ID (and work permit or permanent residency if international applicants or academic info if student)",25 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/spacious-light-filled-studio-apartment-in-vibrant-neighbourhood/1687970316
2 Bed 1 Bath Furnished Brand New Apt. Christie and Bloor,3000,"Toronto, ON M6G 1R3",3/12/2024 2:27,Duplex/Triplex,2,1,"Hydro_Yes,Heat_Yes,Water_Yes",Internet,1,Month-to-month,1-Apr-24,Limited,900,Yes,Yes,Yard,Outdoors only,"Laundry (In Unit), Dishwasher, Fridge / Freezer",,2 Bed 1 Bath Furnished Brand New Apt. Christie and Bloor,10 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bed-1-bath-furnished-brand-new-apt-christie-and-bloor/1687970029
East York renovated 1 bedroom Basement unit 5 minutes to Subway,1850,"East York, ON M4C 4H6",3/12/2024 2:26,Basement,1,1,,Not Included,0,1 Year,1-May-24,Limited,650,No,Yes,Yard,No,"Laundry (In Unit), Fridge / Freezer",,"Welcome to the renovated 1 bedroom basement apartment unit in a house. The unit locates in a family-friendly neighbourhood in trendy East York. 5 minutes walking distance to Woodbine Subway station. Walk to great shops, cafes, , restaurants, grocery store, banking & pharmacy. Close to Woodbine beach, Taylor Creek Park, DVP, Hospital, Library & Civic Centre. Minutes subway transit to Downtown area, universities, United Health Network and government and commercial buildings. Enjoy the convenient living location at East York!
Features about the unit:
•	A walk up basement unit with separate entrance though the fully fenced backyard.
•	5 minutes walking distance to Woodbine Station.
•	Specious new kitchen area with stainless steel appliances.
•	Private laundry in the unit.
•	Closet area with storage
•	Engineered laminate flooring throughout.
•	Suitable for clean and quiet single or couple
•	Tenant to 1/3 of water & Heat, Hydro utilities.
Please kindly provide a description with a bio of who you are, what you do, and what your moving plan is. Thank you for your time and interest!",11 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/east-york-renovated-1-bedroom-basement-unit-5-minutes-to-subway/1687969964
"Bright, Large Basement Apartment for Rent",1690,"9043 Yonge St, Richmond Hill, ON",3/12/2024 2:19,Basement,1,1,,Internet,1,1 Year,1-Apr-24,No,700,No,Yes,Not Included,No,"Laundry (In Building), Dishwasher, Fridge / Freezer",,"New and highly convenient, bright basement apartment.
- Located near busy intersection of Yonge & Hwy 7.
- Steps to transportation hub for VIVA/YRT, GO Bus, GO Train, & transit to Finch station.
- Close walking distance to shopping centre's, library, schools as well as local restaurants and cafes.
- 1 bathroom, 1 kitchen, & 1 bathroom; nice, large living room space.
- Free wifi/internet service.
- Large windows with glass for lots of sunlight.
- Shared laundry & dryer in common area.
- Utilities are separate.
- Please call or text (416) 878-4061 to discuss.",13 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bright-large-basement-apartment-for-rent/1687969535
1 Bed Apt for  Hwy 404/401(Sheppard/Pharmacy/Finch) Apil 1,1450,"Scarborough, ON M1W 1K5",3/12/2024 1:54,Apartment,1,1,"Hydro_Yes,Heat_Yes,Water_Yes",Internet,0,Month-to-month,1-Apr-24,No,350,Yes,Yes,Not Included,Outdoors only,"Laundry (In Unit), Fridge / Freezer",,"Furnished one bedroom apartment in Detached House Main Floor including one bedroom, kitchen, washroom and laundry( all private ) , Great location, nice neighbor.
Rent include hydro, WiFi, heat, water. NO extra hidden fee.
Single , ask $1450/month for rent Two person $1750/month No smoking inside, no pets, no party. Start April 1
If interested, please contact me at 647-280-2886.",31 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bed-apt-for-hwy-404-401-sheppard-pharmacy-finch-apil-1/1687967939
2 BED 2 BATH CONDO LEASE,3000,"Scarborough, ON M1K",3/12/2024 1:49,Condo,2,2,"Hydro_No,Heat_Yes,Water_Yes",Not Included,1,1 Year,1-Apr-24,No,850,No,Yes,YardBalcony,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Bicycle Parking, Elevator in Building","UNFURNISHED - 2 BED - 2 BATH - CONDO / APARTMENT - 850 SQ. FT.
Scarborough Toronto Condo Rental
Gorgeous 2 Bedroom, 2 Bath with Hardwood Floors
$3,000 /month
Available: April 1st
Short Term or long Term
Kennedy and St Clair Intersection, Scarborough
This 850 square foot, 2 bedroom, 2 bathroom features unfurnished space ready for your personal touch. A modern kitchen with stainless steel appliances, dark cabinetry and ample cabinet space for all your kitchenware. This corner unit Toronto condo rental boasts a spacious layout, balcony access from the main living area and gorgeous hardwood floors. The master bedroom features space for all your personal furnishings and is awarded an en-suite bathroom. The guest bedroom is at the opposite end of the condo making it perfect for shared accommodation. Included in this Toronto Condo Rental is in-suite laundry, dish washer, patio, 1 parking space, visitor parking, air conditioning. Residents enjoy access to the building amenities including a custom and elegantly designed lobby, rooftop patio with gas grills, party room, gym, and a stunning ground level courtyard.",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bed-2-bath-condo-lease/1687967593
2 bedroom apt in Finch & Birchmount for 1950$ on April 1,1950,"Timberbank Boulevard, Scarborough, ON",3/12/2024 1:37,Duplex/Triplex,2,1,"Hydro_Yes,Heat_Yes,Water_Yes",Internet,1,Month-to-month,1-Apr-24,No,860,Yes,Yes,YardBalcony,No,"Laundry (In Unit), Fridge / Freezer",,"Bright and new renovated 2 bedroom apartment in available on April 1
Walk out to 1st floor
860 sq foot: 2 bedrooms, 1 living room, 1 kitchen, 1 washroom and toilet, 1 shower room, 1 laundry room
Living room and kitchen in 1st floor
2 bedrooms with shower room, toilet, laundry room half stairs down in basement
Huge master bedroom of 201 sq feet(19 sq meters) with walk-in closet
2nd bedroom of 107 sq feet(10 sq meters) with open closet
Nothing is shared
Near schools, public transport 3 minutes walk
20 minutes to Finch and Subway by TTC Bus 939 and 50 minutes to downtown
20 minutes to Scarborough Town Center by TTC 939
25 minutes to Warden Station and Subway Line 2 by TTC Bus 17 and 50 minutes to downtown
Furniture including sofa, TV stand, king size and queen size beds, night stand, desk, microwave and kitchen utensils
Internet and free wifi
Good for single, a couple or maximum 3 people
Parking extra $80
Text 647 534 1188 if you are interested",26 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-apt-in-finch-birchmount-for-1950-on-april-1/1687966695
Cosy 1 Bedroom plus den Basement Apartment,1750,"Toronto, ON M6K 1R7",3/12/2024 1:28,Basement,1 + Den,1,"Hydro_Yes,Heat_Yes,Water_Yes",Not Included,0,Month-to-month,1-Apr-24,No,600,Yes,Yes,Not Included,No,"Laundry (In Building), Dishwasher, Fridge / Freezer",,"Cozy one bedroom + den Basement apartment, Brockton Village.
-Excellent location in quiet neighbourhood, close to McCormick park (has hockey arena and swimming in community centre), walking distance to no frills and sweet yummy restaurants, shops on Dundas west.
-Large basement with private entrance, 1 bedroom, living room, kitchen, den and bathroom.
-Brand new gas stove, gas fireplace, lovely quartz countertops, shared laundry(beside unit) with upstairs tenants, bamboo floors.
-Lightly Furnished but can be unfurnished.
-All inclusive
Available April 1st, 2024. $1750 utilities included.
Message to set up appointment",19 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/cosy-1-bedroom-plus-den-basement-apartment/1687966049
"PRIVATE BASEMENT APARTMENT, LOCATED AT KENNEDY/LAWRENCE EAST",1500,"Scarborough, ON M1P 1S7",3/12/2024 1:15,Basement,1 + Den,1,"Hydro_Yes,Heat_Yes,Water_Yes",Internet,0,1 Year,1-Apr-24,No,500,No,Yes,Yard,No,"Laundry (In Building), Fridge / Freezer",,"PLEASE READ THE ENTIRE AD BEFORE CONTACTING ME. PLEASE TEXT, MESSAGE OR CALL ME AT THE LISTED NUMBER FOR QUICK RESPONSES. IF THE AD IS STILL UP, IT IS STILL AVAILABLE.","2,291 visits",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/private-basement-apartment-located-at-kennedy-lawrence-east/1685515558
1 Bedroom for Rent | Yonge and Sheppard | March 2024,2625,"299 Eglinton Avenue East, Toronto, ON",3/12/2024 1:10,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,11-Mar-24,Yes,659,No,Yes,Balcony,No,"Laundry (In Building), Fridge / Freezer","Gym, Pool, Concierge, 24 Hour Security, Elevator in Building","1 BEDROOM suite at Harrison:
105 Harrison Garden Blvd., Toronto",98 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-for-rent-yonge-and-sheppard-march-2024/1681788851
1 Bedrooms for Rent | Yonge and Eglinton | February 2024,2565,"Eglinton Avenue East, Toronto, ON",3/12/2024 1:06,Apartment,1,1,"Hydro_No,Heat_Yes,Water_No",Not Included,0,1 Year,11-Mar-24,Yes,530,No,Yes,Balcony,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Pool, Concierge, 24 Hour Security, Elevator in Building",⭐⭐⭐ELGIN⭐⭐⭐,224 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedrooms-for-rent-yonge-and-eglinton-february-2024/1681789449
2 bed room basement Apartment for Rent,2500,"Warden Ave., Scarborough, ON, M1L4V2",3/12/2024 1:02,Basement,2,1,,Not Included,0,1 Year,1-Apr-24,No,"1,400",Yes,Yes,Not Included,No,"Laundry (In Building), Fridge / Freezer",,"Two bedroom basement apartment available for rent from April 1st.
At Warden and St Clair intersection .
Walking distance to Warden subway(5 mints )
Separate Entrance for the basement.
Utilities Separate (40%).
Ravi
Call-+14163714107
Email-Ravi.Satkuru@hotmail.com.",9 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bed-room-basement-apartment-for-rent/1687964134
Renovated & Affordable Suite - Pets OK & Utilities Included,1800,"584 Northcliffe Blvd #2A, York, ON, M6E 3L7",3/12/2024 0:54,Apartment,1,1,"Hydro_Yes,Heat_Yes,Water_Yes",Not Included,0,1 Year,1-Apr-24,Yes,500,No,Yes,Yard,Outdoors only,"Laundry (In Unit), Fridge / Freezer",,,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-affordable-suite-pets-ok-utilities-included/1687960759
Balcony - Spacious - Recently Renovated - Beautiful Apt,2600,"Wilson Avenue, North York, ON",3/12/2024 0:51,Apartment,2,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,1,1 Year,16-Mar-24,Limited,850,No,No,Not Included,Outdoors only,Laundry (In Building),,"Recently Renovated! Balcony, Close to Everything, one to Subway, Wilson Line TTC at Door. Very Spacious, Laundry room in building walk to shopping, close to Humber River Hospital. Small building 10 plex
call to view 416-248-0477 416-560-3393",12 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/balcony-spacious-recently-renovated-beautiful-apt/1687963338
31-35 St. Dennis Drive - 1 Bedroom Apartment for Rent,2397,"35 St. Dennis Drive, Toronto, ON, M3C 1G9",3/12/2024 0:48,Apartment,1,1,"Hydro_No,Heat_Yes,Water_No",Not Included,0,1 Year,11-Apr-24,No,705,No,No,Not Included,No,Laundry (In Building),Elevator in Building,Utilities Included,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/31-35-st-dennis-drive-1-bedroom-apartment-for-rent/1687960030
1 Bdrm Basement Apt in Roncey/High Park/Junction,2000,"Toronto, ON M6P 1B5",3/12/2024 0:46,Apartment,1,1,"Hydro_Yes,Heat_Yes,Water_Yes",Internet,0,Month-to-month,1-Apr-24,No,750,Yes,No,Not Included,No,"Laundry (In Unit), Fridge / Freezer",,"Beautifully furnished 1 bedroom apartment, steps to the TTC (Dundas West Station) as well as the UP Train (15 minutes to Pearson, 5 minutes to Union) and the GO Train. Situated near the top of Roncey, just south of the Junction and 600 metres from High Park.","1,005 visits",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bdrm-basement-apt-in-roncey-high-park-junction/1675558098
2 Bedroom Basement Apartment in Downtown Toronto,,"Henry St, Toronto, ON M5T",3/12/2024 0:43,Basement,2,1,"Hydro_Yes,Heat_Yes,Water_Yes",Internet,0,1 Year,20-Mar-24,Limited,650,Yes,No,Not Included,No,Laundry (In Building),,Charming 2-Bedroom Basement in the Heart of Downtown Toronto,11 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-basement-apartment-in-downtown-toronto/1687962748
Beautiful spacious and bright 1 Bdrm apartment,1950,"Dufferin St, Toronto, M6E 3P1",3/12/2024 0:41,House,1,1,"Hydro_Yes,Heat_Yes,Water_Yes",Not Included,0,1 Year,11-Mar-24,Limited,850,No,Yes,Not Included,Outdoors only,,,"This charming newly renovated apartment is on the main floor of a large Victorian style house located in a wonderful neighbourhood within walking distance to St Clair W & Dufferin with all the amazing shops and restaurants that Little Italy has to offer.This unit features a nice eat in kitchen, large living room and bedroom that will certainly accommodate your king size bed. It has beautiful big windows, ceramic tiles, hard wood floors throughout. Heat and water is included and hydro is separated with its own meter and all energy efficient lights and appliances, and full laundry on premises. Pictures don't give it justice, come by and take look for your self, you won’t be disappointed. First and last month's rent required. Pls msg to set up an appointment.",10 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/beautiful-spacious-and-bright-1-bdrm-apartment/1687962538
"Bentley Apartments - 1 Bdrm available at 15 Tangreen Court, Toro",2595,"15 Tangreen Court, Toronto, ON, M2M 3Z1",3/12/2024 0:39,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,Month-to-month,1-Apr-24,Yes,729,No,No,Balcony,No,"Laundry (In Building), Fridge / Freezer","Bicycle Parking, Storage Space, Elevator in Building",No Last Month's Rent Deposit,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bentley-apartments-1-bdrm-available-at-15-tangreen-court-toro/1679079321
50 Spadina Road - 2 Bedroom Apartment for Rent,4036,"50 Spadina Road, Toronto, ON, M5R 2P1",3/12/2024 0:36,Apartment,2,1.5,,Not Included,0,1 Year,,No,"1,089",No,No,Not Included,No,,Elevator in Building,,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/50-spadina-road-2-bedroom-apartment-for-rent/1687960065
