Title,Price($),Address,Date Posted,Building Type,Bedrooms,Bathrooms,Utilities,Wi-Fi and More,Parking Included,Agreement Type,Move-In Date,Pet Friendly,Size (sqft),Furnished,Air Conditioning,Personal Outdoor Space,Smoking Permitted,Appliances,Amenities,Description,Visit Counter,url
Amazing Suite available!!! 2 BD Available for January 2024,,"2777 Kipling Avenue, Etobicoke, ON, M9V 4M2",2024-03-14 16:46:44,Apartment,2 + Den,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,"January 1, 2024",Yes,Not Available,No,No,Balcony,Outdoors only,"Laundry (In Building), Dishwasher, Fridge / Freezer","24 Hour Security, Elevator in Building",,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/amazing-suite-available-2-bd-available-for-january-2024/1505792263
NEW PRICE!! 1bd fully RENOVATED suite $1625,1695,"5900 Yonge Street, Toronto, ON, M2M 3T8",2024-03-14 16:46:44,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,"February 1, 2021",No,Not Available,No,No,Balcony,Outdoors only,"Laundry (In Building), Dishwasher, Fridge / Freezer","Gym, Storage Space, Elevator in Building",,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/new-price-1bd-fully-renovated-suite-1625/1505831086
Large renovated 1 Bedroom with balcony at Bathurst and Eglinton,2100,"Toronto, ON M5P 3B6",2024-03-14 16:45:35,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,"March 1, 2024",No,700,No,No,Balcony,Outdoors only,"Laundry (In Building), Fridge / Freezer","Bicycle Parking, Storage Space, Elevator in Building","Large renovated 1 bedroom with balcony and hardwood floors. Stainless steel appliances in kitchen, full size shower in bathroom. Located in well-maintained building in Forest Hill near Bathurst and Eglinton West. Steps to TTC with access to Eglinton and Eglinton West Subway. Parking available for rent. Laundry room on site. Heat and Water included. Available March 1st.",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/large-renovated-1-bedroom-with-balcony-at-bathurst-and-eglinton/1686185330
Queen and woodbine beaches,2500,"1834 Queen St E, Toronto, ON M4L 1G9",2024-03-14 16:45:34,Apartment,2,1,,Not Included,0,1 Year,"March 2, 2024",Yes,800,No,No,Not Included,No,,,"2 bed 2 nd floor apartment for rent
Available right away
1834 queenstreet east Toronto Ont
No students",170 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/queen-and-woodbine-beaches/1687074380
3 Bedroom Apartment for Rent - 3434 Eglinton Avenue East,3461,"3434 Eglinton Avenue East, Toronto, ON, M1J 2J1",2024-03-14 16:44:44,Apartment,3,1.5,"Hydro_No,Heat_Yes,Water_No",Not Included,0,1 Year,,No,"1,282",No,No,Not Included,No,Laundry (In Building),Storage Space,Utilities Included,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/3-bedroom-apartment-for-rent-3434-eglinton-avenue-east/1684095926
2 Bedroom Apartment for Rent - 3434 Eglinton Avenue East,2639,"3434 Eglinton Avenue East, Toronto, ON, M1J 2J1",2024-03-14 16:44:44,Apartment,2,1,"Hydro_No,Heat_Yes,Water_No",Not Included,0,1 Year,,No,994,No,No,Not Included,No,Laundry (In Building),Storage Space,Utilities Included,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-apartment-for-rent-3434-eglinton-avenue-east/1684189233
1 Bedroom Apartment for Rent - 3434 Eglinton Avenue East,2519,"3434 Eglinton Avenue East, Toronto, ON, M1J 2J1",2024-03-14 16:44:44,Apartment,1,1,"Hydro_No,Heat_Yes,Water_No",Not Included,0,1 Year,,No,738,No,No,Not Included,No,Laundry (In Building),Storage Space,Utilities Included,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-apartment-for-rent-3434-eglinton-avenue-east/1684095872
"Morningside and Lawrence: 280 Morningside Avenue , 2BR",2400,"280 Morningside Avenue, Toronto, ON, M1E 3E8",2024-03-14 16:39:44,Apartment,2,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,"November 1, 2022",Yes,Not Available,No,No,Balcony,Outdoors only,"Laundry (In Building), Dishwasher, Fridge / Freezer",,,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/morningside-and-lawrence:-280-morningside-avenue-2br/1505840471
"2 Bed, 1 Bath Basement Apartment for Rent in West Mississauga",2100,"Mississauga, ON L5M 5W2",2024-03-14 16:35:42,Basement,2,1,,Not Included,1,1 Year,"April 1, 2024",No,"1,000",No,Yes,Not Included,No,"Laundry (In Unit), Fridge / Freezer",,"Thanks for reading. Up for rent is a 2 bedroom; 1 washroom, basement apartment available April 1, 2024. Ideally looking for a 12-month lease at a minimum. NO SMOKING of any substance/ NO PETS. New immigrants welcome.",6 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bed-1-bath-basement-apartment-for-rent-in-west-mississauga/1688206455
1 Bed 1 Bath - Apartment,2350,"Toronto, ON M5V",2024-03-14 16:28:33,Condo,1,1,,Not Included,0,1 Year,"March 15, 2024",Yes,526,No,Yes,Balcony,Outdoors only,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, 24 Hour Security, Storage Space, Elevator in Building","Incredible loft-style living in a remarkable, 2-year newer building with concrete ceilings and accent walls. Enjoy floor-to-ceiling windows and high-end finishes throughout. Positioned at the heart of the Fashion and Entertainment Districts, Chinatown, Queen West, and the vibrant art scene. Capture memories in Graffiti Alley or take a bike ride down to the lake. This boutique building offers amenities like a party room, meeting room, and gym. Experience the epitome of urban living!",2 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bed-1-bath-apartment/1688205706
One bedroom apartment for rent,,"1182 Windgrove Sq, Pickering, L1X 2S5",2024-03-14 16:25:30,,,,,,,,,No,,No,,,,,,"Pickering one bedroom apartment for rent. Separate entrance, one parking spot. No pets $1500+ 30% utilities.",0 visits,https://www.kijiji.ca/v-short-term-rental/city-of-toronto/one-bedroom-apartment-for-rent/1688205439
1 Bedroom Apartment for Rent - 1330 Danforth Road,2037,"1330 Danforth Road, Toronto, ON, M1J 1E8",2024-03-14 16:23:45,Apartment,1,1,"Hydro_No,Heat_Yes,Water_No",Not Included,0,1 Year,,No,680,No,No,Not Included,No,Laundry (In Building),Storage Space,Utilities Included,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-apartment-for-rent-1330-danforth-road/1684095958
1 Bedroom Apartment for Rent - 1350 Danforth Road,1987,"1350 Danforth Road, Scarborough, ON, M1J 1G3",2024-03-14 16:23:44,Apartment,1,1,"Hydro_No,Heat_Yes,Water_No",Not Included,0,1 Year,,No,685,No,No,Not Included,No,Laundry (In Building),,Utilities Included,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-apartment-for-rent-1350-danforth-road/1687647740
3 Bedroom Apartment for Rent - 1350 Danforth Road,2790,"1350 Danforth Road, Scarborough, ON, M1J 1G3",2024-03-14 16:23:44,Apartment,3,1.5,"Hydro_No,Heat_Yes,Water_No",Not Included,0,1 Year,,No,"1,265",No,No,Not Included,No,Laundry (In Building),,Utilities Included,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/3-bedroom-apartment-for-rent-1350-danforth-road/1684096342
105 West Lodge - 1 Bedroom Apartment in the Heart of Parkdale Ap,2279,"105 West Lodge, Toronto, ON, M6K 2T8",2024-03-14 16:15:44,Apartment,1,1,,Not Included,0,1 Year,,Yes,629,No,No,Not Included,No,Fridge / Freezer,"Storage Space, Elevator in Building",Building Overivew,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/105-west-lodge-1-bedroom-apartment-in-the-heart-of-parkdale-ap/1682857424
105 West Lodge - Studio Apartment in the Heart of Parkdale Apart,2069,"105 West Lodge, Toronto, ON, M6K 2T8",2024-03-14 16:15:44,Apartment,Bachelor/Studio,1,,Not Included,0,1 Year,,Yes,411,No,No,Not Included,No,Fridge / Freezer,"Storage Space, Elevator in Building",Building Overivew,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/105-west-lodge-studio-apartment-in-the-heart-of-parkdale-apart/1678918599
"HUGE 50' x 50' yard. ALL main house. Prime, safe Yonge & Steeles",2895,"Thornhill, ON L3T",2024-03-14 16:09:44,House,2 + Den,1,"Hydro_No,Heat_Yes,Water_No",Internet,1,1 Year,"April 1, 2024",No,"1,200",No,Yes,Yard,No,Fridge / Freezer,,"**FREE WIFI, PARKING and ALL CURTAINS included*** CLEAN, LARGE house with HUGE solarium in bungalow.
WALK TO CENTERPOINT MALL, RESTAURANTS, PARKS, SCHOOLS, BUSES, CLOSE TO TTC.
Move in now for spring!
Ideal for up to 3 people. No pets.
$2895 + hydro/water.
Please send phone # to view.",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/huge-50-x-50-yard-all-main-house-prime-safe-yonge-steeles/1688204137
Newly Renovated 1 Bedroom Basement for rent,1850,"Scarborough, ON M1L 1X9",2024-03-14 16:09:06,Basement,1,1,"Hydro_Yes,Heat_Yes,Water_Yes",Internet,1,Month-to-month,"April 1, 2024",No,500,Yes,Yes,Not Included,Outdoors only,Laundry (In Unit),,"Brand new legal basement apartment with separate entrance, spacious kitchen, ensuite laundry, fully furnished ideal for professional working couple.
40 minutes to downtown via TTC, 3 minutes walk to the closest bus stop. (Closest subway station - Warden)
Includes 1 parking spot
Unlimited high-speed internet (work-from-home friendly)
Proximity to Eglinton Square, Major grocery chains like Walmart, No-frills, Metro & Indian grocery stores.",8 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/newly-renovated-1-bedroom-basement-for-rent/1688204097
Subletting a Cozy and Stylish Dorm Room for 2 months!,1500,"Toronto, ON M5B 2G3",2024-03-14 16:08:48,,,,,,,,,No,,Yes,,,,,,"Dorm room available for 2 months from June 1st, 2024 to July 31st, 2024 at Parkside Student Residence. Subletting one room within a 2 Bedroom 1 Bathroom apartment. The apartment will be shared with my roommate Jack who is extremely clean and works as a Resident Assistant in the building. He is extremely kind and friendly and obeys all the rules and cleanliness conditions required in the room, will also be helpful if you come across any issues during your stay.",236 visits,https://www.kijiji.ca/v-short-term-rental/city-of-toronto/subletting-a-cozy-and-stylish-dorm-room-for-2-months/1684543165
"New Two-Bedroom Townhome Rentals- Move In Now, Pay Later",2949,"15 Brenthall Avenue, North York, ON, M2R 1N1",2024-03-14 16:07:44,Apartment,2,1,,Not Included,0,1 Year,,Yes,Not Available,No,Yes,Balcony,Outdoors only,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Bicycle Parking, Storage Space","Move In Now, Don't Pay Until May 1stOpen House March 16th 11:00am-1:00pm",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/new-two-bedroom-townhome-rentals-move-in-now-pay-later/1678163687
Studio Apartment for Rent - 26 Albert Avenue,1849,"26 Albert Avenue, Toronto, ON, M8V 2L4",2024-03-14 15:56:44,Apartment,Bachelor/Studio,1,"Hydro_No,Heat_Yes,Water_No",Not Included,0,1 Year,,No,392,No,No,Not Included,No,,,Utilities Included,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/studio-apartment-for-rent-26-albert-avenue/1684189619
Furnished 2 bedrooms Basement Apartment - Richmond Hill,2150,"Richmond Hill, ON L4E 3Z1",2024-03-14 15:54:31,Basement,2,1,"Hydro_Yes,Heat_Yes,Water_Yes",Internet,1,1 Year,"March 15, 2024",No,"1,000",Yes,Yes,Not Included,No,"Laundry (In Building), Fridge / Freezer",,"Looking for a comfortable and well-equipped living space in a prime location? Look no further than this Bright and Spacious Basement Apartment in Oak Ridges, Richmond Hill. This lovely 2-bedroom apartment is located at the intersection of Bathurst and Bloomington, offering easy access to amenities, transportation, parks, schools, and much more.
The apartment features a 1st bedroom with a queen bed, side table, and closet and a 2nd bedroom with a queen bed, side table, wardrobe, writing table, and chair. The living/dining room is furnished with a couch, dining table, and chairs, while the kitchen comes equipped with a refrigerator and stove. The apartment also includes a 3-piece bathroom, shared laundry facility, and separate entrance.
Enjoy fast access to YRT, GO, 404/400, and other major highways.
The monthly rent of $2150 includes all utilities (hydro-electricity, water, gas – heating, air conditioning), high-speed internet Wi-Fi, and 1 parking spot. Smoking and pets are not allowed. The apartment is available from March 15th, 2024, or immediate occupancy.
This apartment is perfect for a young couple, small family, or student.
To schedule a viewing, please call at 647-686-9337.",8 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/furnished-2-bedrooms-basement-apartment-richmond-hill/1688202767
Room for rent,550,"Mason Rd, Scarborough, ON M1M 3R2",2024-03-14 15:46:56,,,,,,,,,No,,Yes,,,,,,"Bechelorstudio apartment
Markham/ Eglinton (Scarborough)
Space for 2 female students, kitchen, Rice cooker, micro wave, refrigerator, bed with mattresses, and storage, 65 inch smart TV, dining table, washer dryer,
close to mosque, 3 min walk to TTC (24 Hrs), 3 min walk to walmart superstore, halal grocery, halal pizza,,halal restaurants all at 5-10 mins walk, utilities, hi-speed internet, washer, dryer, Heating, ac are included in the rent
$550/month/tanent",15 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent/1688202038
Spacious Apartment in South Parkdale-All utilities included,1900,"Springhurst Avenue, Toronto, ON",2024-03-14 15:44:36,Apartment,Bachelor/Studio,1,"Hydro_Yes,Heat_Yes,Water_Yes",Not Included,0,1 Year,"March 14, 2024",No,"1,000",No,No,Yard,No,Laundry (In Unit),"Bicycle Parking, Storage Space","Best All Inclusive Lease In South Parkdale. Newly Updated with brand new blinds and pot lights throughout. Heated Floors and Very Spacious, Well Kept And Clean!! Large Open Concept with 3 piece washroom. Tons Of Storage and Natural Light. Steps To TTC Transit, Highway, Parks, Shops, and Schools.
Extras: ALL utilities included (heat, hydro and water). Plenty of Street Parking Available.",11 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/spacious-apartment-in-south-parkdale-all-utilities-included/1688201821
2 Bedroom Apartment for Rent - 15 Craigton Drive,2472,"15 Craigton Drive, Toronto, ON, M1L 2N5",2024-03-14 15:42:44,Apartment,2,1,"Hydro_No,Heat_Yes,Water_No",Not Included,0,1 Year,,No,954,No,No,Not Included,No,,,Utilities Included,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-apartment-for-rent-15-craigton-drive/1686337217
Golden Mile 1 Bedroom Apartment for Rent - 32 Craigton Drive,2236,"32 Craigton Drive, Scarborough, ON, M1L 2N7",2024-03-14 15:42:43,Apartment,1,1,"Hydro_No,Heat_Yes,Water_No",Not Included,0,1 Year,,Yes,602,No,No,Not Included,No,"Laundry (In Building), Fridge / Freezer",,Current Promotions,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/golden-mile-1-bedroom-apartment-for-rent-32-craigton-drive/1686698098
Upscale 2 Bedroom Suite Davisville & Mt Pleasant Rd,3347,"345 Merton St., Toronto, ON, M4S 1B5",2024-03-14 15:31:47,Apartment,2,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,"March 1, 2024",Yes,900,No,No,Balcony,Outdoors only,"Laundry (In Building), Fridge / Freezer","Bicycle Parking, Storage Space, Elevator in Building",,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/upscale-2-bedroom-suite-davisville-mt-pleasant-rd/1677577329
"Open Concept Loft, 18' ceiling, Live/Work Studio",3600,"Toronto, ON M6N 3P1",2024-03-14 15:30:35,Apartment,Bachelor/Studio,1,"Hydro_Yes,Heat_Yes,Water_Yes",Not Included,0,1 Year,"March 1, 2024",Limited,"1,800",No,Yes,Not Included,Outdoors only,Laundry (In Building),,"Perfect for Yoga Studio, Creative Agency, Photography/Video Studio...",315 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/open-concept-loft-18-ceiling-live-work-studio/1685175705
Large 1 Bed Room Basement Apartment Prime Location Queen Street,1350,"Trefann Street, Toronto, ON",2024-03-14 15:24:31,,,,,,,,,No,,Yes,,,,,,"Prime location Queen St. East, downtown Toronto minutes away from dundas square, Ryerson university, George Brown college, Eaton Center, C.N tower and entertainment district, lesliville.",26 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/large-1-bed-room-basement-apartment-prime-location-queen-street/1688199779
2 bedroom apartment for rent sublease,2350,"Vena Wy, Toronto, ON M9M 2V9",2024-03-14 15:22:07,Apartment,2,1,,Not Included,0,Month-to-month,"March 31, 2024",Yes,650,No,Yes,Not Included,Outdoors only,,,Near weston and finchUtilities and car parking extra,11 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-apartment-for-rent-sublease/1688199515
FINCH&BATHURST-MALE ONLY-MONTH TO MONTH RENTAL-TTC SUBWAY,1150,"North York, ON M2R",2024-03-14 15:21:04,Apartment,Bachelor/Studio,1,"Hydro_Yes,Heat_Yes,Water_Yes",Internet,1,Month-to-month,"March 15, 2024",Yes,350,No,No,Balcony,Outdoors only,"Laundry (In Building), Fridge / Freezer","Concierge, 24 Hour Security, Elevator in Building","Welcome,",14 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/finch-bathurst-male-only-month-to-month-rental-ttc-subway/1688199417
"2 bdrm +den - Fifty on the Park,",3005,"50 Portland St, Toronto, ON, M5V 2M7",2024-03-14 15:06:45,Apartment,2 + Den,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Yes,790,No,Yes,Not Included,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, 24 Hour Security, Bicycle Parking, Storage Space, Elevator in Building","2 bdrm +den , 1 bath east view3 black appliances, black granite counter tops, ensuite laundrylaminate floorswindow coveringsRent covers heat and water; hydro and internet billed separatelyParking available at an additional $170 per month, lockers $50 per month, if required",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bdrm-den-fifty-on-the-park/1675915878
Davisville Village Apartments - Bachelor available at 111 Davisv,1790,"111 Davisville Avenue, Toronto, ON, M4S 2Y9",2024-03-14 15:05:44,Apartment,Bachelor/Studio,1,,Not Included,0,1 Year,,No,Not Available,No,No,Not Included,No,,,Visit our Website: https://www.rpmsi.ca/property/davisville-village-apartments-111-davisville/,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/davisville-village-apartments-bachelor-available-at-111-davisv/1669327539
Davisville Village Apartments - 1 Bdrm available at 111 Davisvil,2200,"111 Davisville Avenue, Toronto, ON, M4S 2Y9",2024-03-14 15:05:44,Apartment,1,1,,Not Included,0,1 Year,,No,Not Available,No,No,Not Included,No,,,Visit our Website: https://www.rpmsi.ca/property/davisville-village-apartments-111-davisville/,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/davisville-village-apartments-1-bdrm-available-at-111-davisvil/1681242987
